Grammar Section,Title,Traducción,Example
Leadership & Strategy Phrasal Verbs,To map out,To plan in detail,"We need to map out the project timeline for the next quarter."
Leadership & Strategy Phrasal Verbs,To spearhead,To lead an initiative,"I spearheaded the migration to the new cloud platform."
Leadership & Strategy Phrasal Verbs,To roll out,To launch or implement something new,"We're rolling out the new security software next week."
Leadership & Strategy Phrasal Verbs,To phase in / phase out,To introduce/remove something gradually,"We'll phase out the old system as we phase in the new one."
Problem-Solving & Execution Phrasal Verbs,To figure/work out,"To solve, understand, or find a solution","My team and I figured out a workaround for the bug."
Problem-Solving & Execution Phrasal Verbs,To nail down,To finalize or specify precisely,"Let's nail down the budget before we proceed."
Problem-Solving & Execution Phrasal Verbs,To carry out,To execute or perform a task,"We successfully carried out the server upgrade with zero downtime."
Problem-Solving & Execution Phrasal Verbs,To iron out,To resolve small problems or difficulties,"We're meeting to iron out the final kinks in the user interface."
Problem-Solving & Execution Phrasal Verbs,To come up with,"find a solution (must think about it rationally) (idear)","We came up with a good road map for this quarter."
Communication & Teamwork Phrasal Verbs,To touch base,To make brief contact for an update,"Let's touch base on Friday to check progress."
Communication & Teamwork Phrasal Verbs,To loop in,To include someone in a communication,"I'll loop in the finance team on this decision."
Communication & Teamwork Phrasal Verbs,To bounce ideas off (someone),To discuss ideas to get feedback,"I like to bounce ideas off my lead developer before committing."
Communication & Teamwork Phrasal Verbs,To follow up (on),To take subsequent action or check on something,"Could you follow up on that vendor ticket?"